question,answer
"Yapay zeka ne işe yarar?","Yapay zeka, insan benzeri karar verme ve öğrenme süreçlerini otomatikleştirir."
"Makine öğrenmesi nedir?","Makine öğrenmesi, veriden öğrenip tahmin yapabilen algoritmalar geliştirme sürecidir."
"Derin öğrenme neden güçlüdür?","Derin öğrenme, çok katmanlı sinir ağlarıyla karmaşık örüntüleri öğrenebilir."
"Denetimli öğrenme ne demektir?","Denetimli öğrenme, etiketli verilerle model eğitimi yapılan öğrenme türüdür."
"Denetimsiz öğrenme nerede kullanılır?","Denetimsiz öğrenme, veri kümesindeki yapıları keşfetmek için kullanılır."
"Overfitting ne anlama gelir?","Overfitting, modelin eğitildiği veriye fazla uyum sağlaması sonucu genellemenin bozulmasıdır."
"Confusion matrix ne işe yarar?","Confusion matrix, sınıflandırma performansını TP, FP, FN ve TN ile gösterir."
"ROC eğrisi neyi gösterir?","ROC eğrisi, modelin true positive oranına karşı false positive oranını gösterir."
"Feature extraction nedir?","Feature extraction, ham veriden anlamlı öznitelikler çıkarma sürecidir."
"Model doğrulama nasıl yapılır?","Model doğrulama için genellikle cross-validation teknikleri kullanılır."
"Phishing nasıl tespit edilir?","Phishing, sahte bağlantılar, taklit e-postalar ve sosyal mühendislik yoluyla tespit edilir."
"Firewall neyi engeller?","Firewall, yetkisiz ağ trafiğini engelleyerek sistemi korur."
"DDoS saldırısı ne yapar?","DDoS, sistemi aşırı trafikle meşgul ederek hizmet veremez hale getirir."
"SQL injection nasıl önlenir?","SQL injection, prepared statement ve input validation ile engellenir."
"XSS saldırısı nasıl işler?","XSS, zararlı script’lerin web sayfalarına enjekte edilmesiyle gerçekleşir."
"Hashleme neden tek yönlüdür?","Hashleme, girdiyi sabit boyutta bir çıktıya dönüştürür ve geri döndürülemezdir."
"Penetrasyon testi ne sağlar?","Penetrasyon testi, sistemdeki güvenlik açıklarını proaktif şekilde ortaya çıkarır."
"IDS ne işe yarar?","IDS, ağ trafiğini analiz ederek şüpheli aktiviteleri algılayan bir güvenlik sistemidir."
"Zero-day açığı nedir?","Zero-day, henüz bilinmeyen veya yamalanmamış güvenlik açığıdır."
"AI ile tehdit tespiti nasıl yapılır?","AI tabanlı sistemler, anormal davranışları öğrenip otomatik tehdit analizi yapabilir."
